meanmax.size,meanmean.size,alone,model
3.07692307692308,1.6014652014652,47,CRP
3,1.69377289377289,38,CRP
3.61538461538462,1.84615384615385,33,CRP
3.30769230769231,1.88717948717949,34,CRP
3.30769230769231,1.74945054945055,37,CRP
3,1.81098901098901,37,CRP
3.30769230769231,1.74358974358974,38,CRP
3.53846153846154,1.97948717948718,35,CRP
3.07692307692308,1.7040293040293,41,CRP
3.15384615384615,1.74505494505495,40,CRP
3.30769230769231,1.73846153846154,43,CRP
3.61538461538462,1.94578754578755,41,CRP
3.38461538461538,1.72893772893773,40,CRP
3.53846153846154,1.96483516483516,35,CRP
3.46153846153846,1.85201465201465,34,CRP
3.15384615384615,1.86227106227106,31,CRP
3.46153846153846,1.8989010989011,35,CRP
3.23076923076923,2.03076923076923,29,CRP
3.61538461538462,1.81684981684982,41,CRP
3.15384615384615,1.75897435897436,41,CRP
3.92307692307692,1.97948717948718,35,CRP
3.84615384615385,2.15384615384615,29,CRP
3.76923076923077,1.94432234432234,40,CRP
3,1.7025641025641,39,CRP
3,1.5970695970696,47,CRP
3.30769230769231,1.74358974358974,37,CRP
2.92307692307692,1.64102564102564,41,CRP
3.23076923076923,2.2007326007326,33,CRP
3.30769230769231,1.7025641025641,40,CRP
3.46153846153846,1.83736263736264,40,CRP
3.61538461538462,1.96483516483516,38,CRP
3.61538461538462,1.91794871794872,33,CRP
3.84615384615385,2.14945054945055,33,CRP
2.92307692307692,1.68351648351648,42,CRP
3.30769230769231,1.86227106227106,37,CRP
2.53846153846154,1.68278388278388,37,CRP
3.46153846153846,1.9032967032967,36,CRP
2.53846153846154,1.55604395604396,44,CRP
3,1.57509157509158,46,CRP
3.46153846153846,1.86227106227106,36,CRP
3.61538461538462,1.78021978021978,38,CRP
3.46153846153846,1.73479853479853,43,CRP
3.46153846153846,1.93406593406593,36,CRP
3.23076923076923,1.86739926739927,42,CRP
3.46153846153846,1.91355311355311,38,CRP
3.07692307692308,1.52967032967033,50,CRP
4,2.03663003663004,36,CRP
3.38461538461538,1.95970695970696,40,CRP
3.61538461538462,2.28278388278388,35,CRP
3.53846153846154,2.06153846153846,33,CRP
3.23076923076923,1.87179487179487,39,CRP
3.38461538461538,1.94871794871795,31,CRP
2.92307692307692,1.67252747252747,45,CRP
3.30769230769231,1.85641025641026,34,CRP
3.30769230769231,1.86227106227106,35,CRP
3.23076923076923,1.63589743589744,47,CRP
3.38461538461538,2.01611721611722,34,CRP
3.07692307692308,1.67326007326007,43,CRP
3.69230769230769,1.95897435897436,35,CRP
3.15384615384615,1.80586080586081,42,CRP
3.15384615384615,1.66300366300366,45,CRP
4.15384615384615,2.24175824175824,35,CRP
3.23076923076923,1.81538461538462,33,CRP
3.69230769230769,1.86666666666667,34,CRP
3.07692307692308,1.72380952380952,43,CRP
3.15384615384615,1.71868131868132,39,CRP
3,1.83150183150183,34,CRP
2.84615384615385,1.55604395604396,49,CRP
3.38461538461538,1.92380952380952,32,CRP
2.76923076923077,1.59120879120879,43,CRP
3.46153846153846,1.796336996337,43,CRP
3.30769230769231,1.75531135531136,42,CRP
3.61538461538462,2.03076923076923,27,CRP
2.53846153846154,1.64102564102564,33,CRP
3,1.6014652014652,43,CRP
4,1.94871794871795,34,CRP
3.30769230769231,1.68864468864469,49,CRP
2.92307692307692,1.57509157509158,44,CRP
3.61538461538462,1.78021978021978,40,CRP
2.84615384615385,1.63150183150183,44,CRP
3.15384615384615,1.78021978021978,37,CRP
3,1.66300366300366,41,CRP
2.84615384615385,1.65714285714286,40,CRP
3.15384615384615,1.78021978021978,33,CRP
3.46153846153846,1.8974358974359,37,CRP
2.76923076923077,1.66739926739927,40,CRP
3.76923076923077,2.23589743589744,27,CRP
3,1.64249084249084,44,CRP
3.38461538461538,1.78461538461538,42,CRP
3.23076923076923,1.72893772893773,40,CRP
3.23076923076923,1.91794871794872,30,CRP
3.23076923076923,1.6981684981685,44,CRP
3.38461538461538,1.89304029304029,35,CRP
3.92307692307692,2.06300366300366,37,CRP
4.07692307692308,2.19487179487179,27,CRP
3.38461538461538,1.78021978021978,38,CRP
3.23076923076923,1.74358974358974,37,CRP
3.23076923076923,1.77142857142857,44,CRP
3,1.70842490842491,39,CRP
3.92307692307692,2.15970695970696,38,CRP
3.53846153846154,1.92820512820513,34,CRP
3.53846153846154,1.83589743589744,36,CRP
3.46153846153846,1.87838827838828,40,CRP
3,1.82564102564103,34,CRP
2.84615384615385,1.65128205128205,39,CRP
