meanmax.size,meanmean.size,alone,model
2.06666666666667,1.29666666666667,49,equal
2,1.38285714285714,41,equal
2.13333333333333,1.44,46,equal
2.2,1.49666666666667,36,equal
2.26666666666667,1.47222222222222,38,equal
2.13333333333333,1.40444444444444,40,equal
2,1.36666666666667,41,equal
2.06666666666667,1.33444444444444,51,equal
2.2,1.49222222222222,35,equal
2.2,1.49777777777778,37,equal
2.13333333333333,1.48555555555556,36,equal
2.2,1.29333333333333,50,equal
2.06666666666667,1.31888888888889,46,equal
2.06666666666667,1.50888888888889,36,equal
2.13333333333333,1.46333333333333,38,equal
2.2,1.52555555555556,30,equal
2.26666666666667,1.55666666666667,39,equal
2.06666666666667,1.42111111111111,43,equal
2,1.25111111111111,57,equal
2.06666666666667,1.39222222222222,41,equal
2.4,1.51666666666667,42,equal
2.2,1.38666666666667,44,equal
2.13333333333333,1.44444444444444,40,equal
2.06666666666667,1.31333333333333,49,equal
2,1.31777777777778,48,equal
2.06666666666667,1.53888888888889,33,equal
2.06666666666667,1.42,42,equal
2.2,1.39666666666667,42,equal
2,1.37777777777778,43,equal
2.33333333333333,1.51,41,equal
1.86666666666667,1.27888888888889,48,equal
2,1.35666666666667,47,equal
2.13333333333333,1.46777777777778,36,equal
2.26666666666667,1.39666666666667,44,equal
2,1.48555555555556,36,equal
1.86666666666667,1.36555555555556,43,equal
2,1.27777777777778,49,equal
2.06666666666667,1.40507936507937,43,equal
1.86666666666667,1.36555555555556,43,equal
2.26666666666667,1.41666666666667,41,equal
2.33333333333333,1.43730158730159,47,equal
2.06666666666667,1.43888888888889,36,equal
1.86666666666667,1.29666666666667,50,equal
2.06666666666667,1.44,39,equal
2.13333333333333,1.45444444444444,38,equal
2.2,1.32,48,equal
1.93333333333333,1.33777777777778,43,equal
1.93333333333333,1.39111111111111,39,equal
2.46666666666667,1.50888888888889,36,equal
2.26666666666667,1.49444444444444,38,equal
2.26666666666667,1.45444444444444,45,equal
2.4,1.49222222222222,38,equal
1.93333333333333,1.28,53,equal
2.33333333333333,1.39222222222222,44,equal
2.2,1.38111111111111,42,equal
2.06666666666667,1.39111111111111,40,equal
1.86666666666667,1.30888888888889,48,equal
2.26666666666667,1.49,41,equal
2,1.49222222222222,41,equal
1.93333333333333,1.36333333333333,41,equal
2,1.36,41,equal
2.06666666666667,1.47888888888889,35,equal
2.13333333333333,1.45888888888889,38,equal
2,1.36111111111111,42,equal
2.26666666666667,1.40444444444444,42,equal
2.2,1.51333333333333,33,equal
2.13333333333333,1.39,41,equal
2,1.27,52,equal
2.33333333333333,1.52222222222222,35,equal
2.13333333333333,1.36888888888889,43,equal
2.13333333333333,1.46888888888889,33,equal
2.06666666666667,1.41333333333333,46,equal
2,1.47111111111111,35,equal
2.26666666666667,1.40777777777778,41,equal
2.2,1.47333333333333,36,equal
2.53333333333333,1.70222222222222,30,equal
2,1.38333333333333,41,equal
2.2,1.40333333333333,40,equal
1.93333333333333,1.31777777777778,49,equal
2.13333333333333,1.4084126984127,41,equal
2.13333333333333,1.32111111111111,49,equal
2.13333333333333,1.38555555555556,43,equal
2.2,1.45666666666667,40,equal
2.26666666666667,1.49111111111111,36,equal
2,1.30444444444444,48,equal
2.26666666666667,1.41888888888889,47,equal
2,1.35777777777778,44,equal
2,1.41444444444444,41,equal
2.06666666666667,1.42222222222222,39,equal
2,1.28111111111111,49,equal
2.26666666666667,1.52777777777778,35,equal
2.13333333333333,1.41777777777778,41,equal
2.13333333333333,1.29777777777778,51,equal
2,1.31,48,equal
2.13333333333333,1.29111111111111,53,equal
1.8,1.25,51,equal
2.13333333333333,1.37666666666667,44,equal
1.73333333333333,1.24285714285714,57,equal
2.06666666666667,1.50888888888889,37,equal
2.26666666666667,1.41333333333333,47,equal
2.26666666666667,1.35222222222222,45,equal
2.26666666666667,1.44555555555556,41,equal
2.46666666666667,1.47888888888889,40,equal
2,1.33666666666667,43,equal
1.93333333333333,1.31174603174603,46,equal
2,1.36888888888889,42,equal
2.06666666666667,1.35333333333333,43,equal
2.26666666666667,1.47555555555556,35,equal
1.93333333333333,1.49888888888889,35,equal
2.33333333333333,1.47,42,equal
2.26666666666667,1.37888888888889,46,equal
2.06666666666667,1.46,36,equal
2,1.3,48,equal
2.13333333333333,1.38111111111111,41,equal
2.06666666666667,1.35888888888889,44,equal
2.06666666666667,1.38777777777778,47,equal
2.06666666666667,1.34,45,equal
2,1.36111111111111,47,equal
1.93333333333333,1.37111111111111,43,equal
2.33333333333333,1.52222222222222,36,equal
2.06666666666667,1.42111111111111,45,equal
2.4,1.44444444444444,41,equal
2.13333333333333,1.45222222222222,37,equal
2.13333333333333,1.39888888888889,42,equal
1.93333333333333,1.30777777777778,50,equal
2.26666666666667,1.4084126984127,45,equal
2.46666666666667,1.45222222222222,40,equal
1.93333333333333,1.31285714285714,50,equal
