Experiment_ID,Choice_1,Choice_0,Feed_Date,Trial_Date,Food_Deprivation_Length,Animal,Arena_Position,Choice,Acclimation,area_chosen,area_other,berghia_length,track_intersection,path_sense_beh,radius_chosen,radius_other,rel_radius_chosen,rel_radius_other,rel_size_diff,size_diff,latency_2_choose
K8030321_intactvslime,Slime_Trail,Intact,2/24/2021,3/3/2021,7,1,A1,1,asw,0.101,0.108,0.268,0,0,0.179302255,0.185411617,0.669038263,0.691834392,-0.022796128,-0.006109362,168
K8030321_intactvslime,Slime_Trail,Intact,2/24/2021,3/3/2021,7,3,B1,1,asw,0.099,0.317,0.357,1,0,0.177518108,0.317654268,0.497249603,0.889787865,-0.392538263,-0.14013616,478
K8030321_intactvslime,Slime_Trail,Intact,2/24/2021,3/3/2021,7,5,C1,0,asw,0.085,0.083,0.238,0,0,0.164488116,0.162541443,0.691126538,0.682947238,0.0081793,0.001946673,379
K8030321_intactvslime,Slime_Trail,Intact,2/24/2021,3/3/2021,7,2,A2,0,asw,0.04,0.065,0.41,1,0,0.112837917,0.143840685,0.275214431,0.350830939,-0.075616508,-0.031002768,293
K8030321_intactvslime,Slime_Trail,Intact,2/24/2021,3/3/2021,7,4,B2,1,asw,0.187,0.098,0.459,0,0,0.243975303,0.176619277,0.531536609,0.384791452,0.146745157,0.067356027,641
K8030321_intactvslime,Slime_Trail,Intact,2/24/2021,3/3/2021,7,6,C2,1,asw,0.277,0.141,0.42,1,0,0.296937432,0.211853001,0.706993886,0.504411907,0.202581979,0.085084431,164
K8030321_intactvslime,Slime_Trail,Intact,2/24/2021,3/3/2021,7,9,B1,1,asw,0.094,0.088,0.33,0,0,0.172977251,0.167365677,0.524173487,0.50716872,0.017004768,0.005611573,124
K8030321_intactvslime,Slime_Trail,Intact,2/24/2021,3/3/2021,7,11,C1,1,asw,0.354,0.308,0.326,1,1,0.335680949,0.313112512,1.029696163,0.960467827,0.069228336,0.022568438,112
K8030321_intactvslime,Slime_Trail,Intact,2/24/2021,3/3/2021,7,8,A2,1,asw,0.122,0.122,0.477,0,0,0.19706295,0.19706295,0.413129873,0.413129873,0,0,153
K8030321_intactvslime,Slime_Trail,Intact,2/24/2021,3/3/2021,7,10,B2,0,asw,0.198,0.198,0.28,1,1,0.251048516,0.251048516,0.896601843,0.896601843,0,0,342
