Experiment_ID,Choice,Choice_1,Food_Deprivation_Length,Acclimation,latency_2_choose
K8030321_intactvslime,1,Slime_Trail,7,asw,168
K8030321_intactvslime,1,Slime_Trail,7,asw,478
K8030321_intactvslime,0,Slime_Trail,7,asw,379
K8030321_intactvslime,0,Slime_Trail,7,asw,293
K8030321_intactvslime,1,Slime_Trail,7,asw,641
K8030321_intactvslime,1,Slime_Trail,7,asw,164
K8030321_intactvslime,1,Slime_Trail,7,asw,124
K8030321_intactvslime,1,Slime_Trail,7,asw,112
K8030321_intactvslime,1,Slime_Trail,7,asw,153
K8030321_intactvslime,0,Slime_Trail,7,asw,342
K8030321_intactvslime,0,Slime_Trail,7,asw,340
SG031921Intact_vs_Slimetrails,1,Slime_Trail,7,asw,120
SG031921Intact_vs_Slimetrails,0,Slime_Trail,7,asw,240
SG031921Intact_vs_Slimetrails,1,Slime_Trail,7,asw,180
SG031921Intact_vs_Slimetrails,1,Slime_Trail,7,asw,240
SG031921Intact_vs_Slimetrails,1,Slime_Trail,7,asw,120
SG031921Intact_vs_Slimetrails,0,Slime_Trail,7,asw,240
SG031921Intact_vs_Slimetrails,1,Slime_Trail,7,asw,840
SG031921Intact_vs_Slimetrails,1,Slime_Trail,7,asw,120
SG031921Intact_vs_Slimetrails,0,Slime_Trail,7,asw,960
SG031921Intact_vs_Slimetrails,0,Slime_Trail,7,asw,2040
SG031921Intact_vs_Slimetrails,0,Slime_Trail,7,asw,120
SG032621Intact_vs_slimetrail,1,Slime_Trail,7,asw,43
SG032621Intact_vs_slimetrail,0,Slime_Trail,7,asw,89
SG032621Intact_vs_slimetrail,1,Slime_Trail,7,asw,118
SG032621Intact_vs_slimetrail,1,Slime_Trail,7,asw,1387
SG032621Intact_vs_slimetrail,1,Slime_Trail,7,asw,64
SG032621Intact_vs_slimetrail,0,Slime_Trail,7,asw,121
SG040921Intact_vs_slimetrail,1,Slime_Trail,7,asw,60
SG040921Intact_vs_slimetrail,0,Slime_Trail,7,asw,493
SG040921Intact_vs_slimetrail,1,Slime_Trail,7,asw,67
SG040921Intact_vs_slimetrail,0,Slime_Trail,7,asw,228
SG040921Intact_vs_slimetrail,1,Slime_Trail,7,asw,65
SG040921Intact_vs_slimetrail,1,Slime_Trail,7,asw,274
SG040921Intact_vs_slimetrail,0,Slime_Trail,7,asw,71
