Experiment_ID,Feed_Date,Trial_Date,Food_Deprivation_Length,n_slugs,n_anemones,max_group_size,grp_size_8,grp_size_7,grp_size_6,grp_size_5,grp_size_4,grp_size_3,grp_size_2,grp_size_1,num_not_feeding,avg_grp_size
K820211223_SF_circle8_8_01,12/20/2021,12/23/2021,3,8,8,4,0,0,0,0,1,0,1,2,0,2
K820211223_SF_circle8_8_02,12/20/2021,12/23/2021,3,8,8,3,0,0,0,0,0,1,1,1,2,2
K820211223_SF_circle8_8_03,12/20/2021,12/23/2021,3,8,8,5,0,0,0,1,0,0,0,2,1,2.333333333
K820211223_SF_circle8_8_04,12/20/2021,12/23/2021,3,8,8,2,0,0,0,0,0,0,2,2,2,1.5
K820211223_SF_circle8_8_05,12/20/2021,12/23/2021,3,8,8,3,0,0,0,0,0,1,0,2,3,1.666666667
K820211223_SF_circle8_8_06,12/20/2021,12/23/2021,3,8,8,6,0,0,1,0,0,0,1,0,0,4
K820211223_SF_circle8_8_07,12/20/2021,12/23/2021,3,8,8,3,0,0,0,0,0,1,2,1,0,2
K820211223_SF_circle8_8_08,12/20/2021,12/23/2021,3,8,8,3,0,0,0,0,0,2,0,2,0,2
K820211223_SF_circle8_8_09,12/20/2021,12/23/2021,3,8,8,2,0,0,0,0,0,0,2,4,0,1.333333333
SG090721_Circular Configuration3-day starved,9/4/2021,9/7/2021,3,8,8,2,0,0,0,0,0,0,0,4,4,1
SG090721_Circular Configuration3-day starved,9/14/2021,9/7/2021,3,8,8,2,0,0,0,0,0,0,2,3,1,1.4
SG091721_Circular Configuration_3 day starved,9/14/2021,9/17/2021,3,8,8,2,0,0,0,0,0,0,2,2,2,1.5
SG091721_Circular Configuration_3 day starved,9/14/2021,9/17/2021,3,8,8,2,0,0,0,0,0,0,2,4,0,1.333333333
K8012921_social_03,1/22/2021,1/29/2021,7,8,8,2,0,0,0,0,0,0,0,1,7,1
K8020521_social_01,1/29/2021,2/5/2021,7,8,8,4,0,0,0,0,0,1,1,1,2,2
K8020521_social_02,1/29/2021,2/5/2021,7,8,8,4,0,0,0,0,1,0,0,1,3,2.5
K8020521_social_03,1/29/2021,2/5/2021,7,8,8,1,0,0,0,0,0,0,2,3,1,1.4
K8020521_social_04,1/29/2021,2/5/2021,7,8,8,4,0,0,0,0,0,1,1,2,1,1.75
K8020521_social_05,1/29/2021,2/5/2021,7,8,8,3,0,0,0,0,0,1,1,3,0,1.6
K8021221_social_01,2/5/2021,2/12/2021,7,8,8,6,0,0,1,0,0,0,0,1,1,3.5
K8021221_social_03,2/5/2021,2/12/2021,7,8,8,1,0,0,0,0,0,0,0,2,6,1
K8021221_social_04,2/5/2021,2/12/2021,7,8,8,3,0,0,0,0,0,2,0,1,1,2.333333333
K820221108_fwe_01,11/1/2022,11/8/2022,7,8,8,3,0,0,0,0,1,0,0,3,1,1.75
K820230418_SF-ID_t1,2/8/2023,2/15/2023,7,8,8,3,0,0,0,0,0,1,1,1,2,2
K820230418_SF-ID_t2,2/8/2023,2/15/2023,7,8,8,3,0,0,0,0,0,0,1,2,3,1.333333333
K820230418_SF-ID_t3,2/8/2023,2/15/2023,7,8,8,3,0,0,0,0,0,1,1,2,1,1.75
K820230418_SF-ID_t4,2/8/2023,2/15/2023,7,8,8,3,0,0,0,0,0,1,1,2,1,1.75
SG100520_social_01,9/29/2020,10/5/2020,7,8,8,2,0,0,0,0,0,0,2,1,3,1.666666667
